x,y,z,yaw,velocity,change_flag
-157.3999,502.4573,33.993,-1.9197,2,0
-157.574,501.9645,33.9711,-1.9188,2,0
-157.767,501.4839,33.9603,-1.9189,3,0
-157.9664,500.9953,33.9609,-1.9217,4,0
-158.1868,500.4673,33.9571,-1.9272,5,0
-158.4067,499.9185,33.9551,-1.9371,6,0
-158.5825,499.4134,33.9552,-1.9487,7,0
-158.7811,498.945,33.954,-1.9618,7,0
-159.0143,498.4304,33.9523,-1.9775,8,0
-159.267,497.8376,33.9469,-1.9961,8,0
-159.5741,497.1865,33.9524,-2.0179,9,0
-159.938,496.5582,33.9325,-2.0477,9,0
-160.2845,495.8906,33.9322,-2.0819,10,0
-160.5278,495.4483,33.9398,-2.1055,10,0
-160.7929,495.0106,33.9329,-2.1315,10.0175,0
-161.1203,494.5413,33.9258,-2.1588,10.3405,0
-161.4586,494.0527,33.9259,-2.1856,10.6915,0
-161.8073,493.5545,33.9313,-2.2147,11.0495,0
-162.2156,493.0769,33.925,-2.2433,11.4215,0
-162.5676,492.6033,33.9377,-2.273,11.8147,0
-163.0227,492.1333,33.9395,-2.3015,12.0814,0
-163.4851,491.6149,33.9044,-2.3316,12.5377,0
-163.9564,491.1261,33.9172,-2.3611,12.9168,0
-164.4669,490.6167,33.9175,-2.3911,13.1906,0
-165.0082,490.1415,33.9243,-2.4198,13.5556,0
-165.575,489.6593,33.9354,-2.449,13.8575,0
-166.1764,489.1979,33.9137,-2.4768,14.1453,0
-166.8033,488.7196,33.928,-2.5042,14.384,0
-167.4045,488.2518,33.9432,-2.5312,14.6648,0
-168.0988,487.7718,33.9623,-2.5553,14.8754,0
-168.759,487.2818,33.9414,-2.5743,15.1281,0
-169.4777,486.8472,33.9551,-2.5912,15.5212,0
-170.2001,486.3935,33.9576,-2.6062,15.809,0
-170.95,485.9797,33.9743,-2.617,15.9775,0
-171.7045,485.5043,34.0059,-2.6276,16.3706,0
-172.4918,485.0305,34.029,-2.6334,16.7638,0
-173.2928,484.6174,34.0547,-2.6395,16.848,0
-174.1053,484.143,34.0717,-2.6431,16.855,0
-174.9135,483.7125,34.0998,-2.6466,17.1218,0
-175.7846,483.2516,34.1525,-2.651,17.0165,0
-176.608,482.8424,34.1868,-2.6573,17.3394,0
-177.4555,482.3846,34.2567,-2.6661,17.2762,0
-178.2964,481.9514,34.3144,-2.6724,17.4166,0
-179.1651,481.5167,34.355,-2.677,17.4377,0
-180.031,481.0883,34.4128,-2.6808,17.564,0
