Latitude,Longitude,Speed
38.4898910522,-77.3878479004,65
38.4900932312,-77.3876876831,65
38.4903068542,-77.3875274658,65
38.4905204773,-77.3873596191,65
38.4907417297,-77.3871841431,65
38.4909553528,-77.387008667,65
38.4911727905,-77.3868255615,65
38.4913864136,-77.3866424561,65
38.4916000366,-77.3864593506,65
38.491809845,-77.3862686157,65
38.492023468,-77.3860855103,65
38.4922409058,-77.3858947754,65
38.4924545288,-77.3857116699,65
38.4926681519,-77.3855209351,65
38.4928741455,-77.385345459,65
38.4930801392,-77.3851623535,65
38.4932823181,-77.3849868774,65
38.4934883118,-77.384803772,65
38.4936943054,-77.3846282959,65
38.4939041138,-77.3844528198,65
38.4941177368,-77.3842773438,65
38.4943275452,-77.3841094971,65
38.4945449829,-77.3839416504,65
38.4947624207,-77.3837738037,65
38.4949798584,-77.3836135864,65
38.4951972961,-77.3834457397,65
38.4954223633,-77.3832855225,65
38.495639801,-77.3831253052,65
38.4958648682,-77.3829727173,65
38.4960784912,-77.3828125,65
38.4962997437,-77.3826599121,65
38.4965209961,-77.3824996948,65
38.4967422485,-77.3823547363,65
38.4969673157,-77.3822097778,65
38.4971923828,-77.3820648193,65
38.4974250793,-77.3819274902,65
38.4976577759,-77.3817825317,65
38.4978904724,-77.381652832,65
38.4981269836,-77.3815078735,65
38.4983673096,-77.3813781738,65
38.4986076355,-77.3812484741,65
38.4988555908,-77.381111145,65
38.4990997314,-77.3809814453,65
38.4993553162,-77.380859375,65
38.4996109009,-77.3807296753,65
38.4998664856,-77.380607605,65
38.5001220703,-77.3804931641,65
38.500377655,-77.3803863525,65
38.5006332397,-77.3802719116,65
38.5008964539,-77.3801574707,65
38.501159668,-77.3800506592,65
38.5014305115,-77.3799438477,65
38.5017051697,-77.3798446655,65
38.5019836426,-77.379737854,65
38.5022735596,-77.3796386719,65
38.5025672913,-77.3795394897,65
38.5028648376,-77.3794403076,65
38.5031585693,-77.3793487549,65
38.503452301,-77.3792495728,65
38.5037384033,-77.37915802,65
