Latitude,Longitude,Speed
38.6461054,-77.2860758,65
38.6462973,-77.2860463,65
38.6465375,-77.2860189,65
38.6467227,-77.2860059,65
38.6469068,-77.2859755,65
38.6470972,-77.2859316,65
38.6472849,-77.2858663,65
38.6474348,-77.2857929,65
38.6475743,-77.2857007,65
38.6477445,-77.2855643,65
38.6479221,-77.2854114,65
38.648115,-77.2851945,65
38.6483044,-77.2849317,65
38.6485486,-77.2845874,65
38.6487293,-77.2843607,65
38.6489257,-77.2841572,65
38.6491117,-77.2839927,65
38.6493154,-77.2838585,65
38.6496235,-77.2836859,65
38.6499906,-77.2834597,65
38.6502569,-77.2832955,65
38.6505269,-77.2831466,65
38.6507512,-77.2830384,65
38.6509598,-77.2829033,65
38.6511485,-77.2827826,65
38.651301,-77.2826891,65
38.6514282,-77.2826073,65
38.6515541,-77.2825312,65
38.6516522,-77.282474,65
38.6516963,-77.2824061,65
38.652492,-77.2819575,65
38.6529816,-77.2816943,65
38.6534148,-77.2814458,65
38.6537458,-77.2812596,65
38.65399,-77.2811291,65
38.6541144,-77.2810563,65
38.6542966,-77.2809535,65
38.654473,-77.2808578,65
38.6546630859,-77.2807540894,65
38.6548576355,-77.2806472778,65
38.6550483704,-77.2805404663,65
38.6552429199,-77.2804336548,65
38.6554374695,-77.2803268433,65
38.6556358337,-77.2802124023,65
38.655834198,-77.2800979614,65
38.6560325623,-77.2799911499,65
38.6562347412,-77.2798843384,65
38.6564331055,-77.2797775269,65
38.6566314697,-77.2796630859,65
38.656829834,-77.2795562744,65
38.6570320129,-77.2794418335,65
38.6572341919,-77.2793273926,65
38.6574401855,-77.2792129517,65
38.6576461792,-77.2790985107,65
38.6578483582,-77.2789840698,65
38.6580543518,-77.2788696289,65
38.6582565308,-77.2787628174,65
38.658454895,-77.2786560059,65
38.658657074,-77.2785415649,65
38.6588592529,-77.2784194946,65
38.6590652466,-77.2783126831,65
38.6592750549,-77.2781906128,65
38.659488678,-77.2780761719,65
38.659702301,-77.2779464722,65
38.6599197388,-77.2778244019,65
38.6601371765,-77.2777023315,65
38.660358429,-77.2775726318,65
38.6605873108,-77.2774429321,65
38.6608123779,-77.2773132324,65
38.6610374451,-77.2771835327,65
38.6612663269,-77.277053833,65
38.661491394,-77.2769165039,65
38.6617202759,-77.2767944336,65
38.661945343,-77.2766494751,65
38.6621704102,-77.276512146,65
38.6623916626,-77.2763595581,65
38.6626167297,-77.2762069702,65
38.6628379822,-77.2760391235,65
38.6630630493,-77.2758712769,65
38.6632919312,-77.275680542,65
38.6635169983,-77.2754898071,65
38.6637420654,-77.2752914429,65
38.6639595032,-77.2750854492,65
38.6641731262,-77.2748794556,65
38.6643791199,-77.2746734619,65
38.6645812988,-77.2744598389,65
38.6647720337,-77.2742385864,65
38.6649665833,-77.274017334,65
38.6651623,-77.2738256,65
38.6653457,-77.2736074,65
38.6655187,-77.2733759,65
38.6657081,-77.2731443,65
38.6658701,-77.2729055,65
38.6660303,-77.2726748,65
38.6662073,-77.2724123,65
38.6663497,-77.2721766,65
38.6665132,-77.2719226,65
38.6666505,-77.2716842,65
38.666792,-77.2714298,65
38.666928,-77.2711619,65
38.6670501,-77.2709396,65
38.6671885,-77.2706673,65
38.6673152,-77.2703949,65
38.6674526,-77.2700831,65
38.6675633,-77.2698191,65
38.6676575,-77.2695905,65
38.6677856,-77.2692577,65
38.6678848,-77.2689785,65
38.6679747,-77.2687185,65
38.668069,-77.2684236,65
38.6681726,-77.2680728,65
38.6682803,-77.2676983,65
38.6683678,-77.2673748,65
38.6684427,-77.2670624,65
38.6685104,-77.2667742,65
38.6685827,-77.2664055,65
38.6686592102,-77.2660903931,65
38.6687355042,-77.2657623291,65
38.6687812805,-77.2654266357,65
38.6688270569,-77.2650985718,65
38.6688690186,-77.264755249,65
38.6689071655,-77.2644271851,65
38.6689567566,-77.2640838623,65
38.6689987183,-77.2637405396,65
38.6690444946,-77.2634048462,65
38.6690864563,-77.2630615234,65
38.669128418,-77.2627334595,65
38.6691703796,-77.2624130249,65
38.6692085266,-77.2620925903,65
38.6692504883,-77.2617721558,65
38.6692848206,-77.2614593506,65
38.6693267822,-77.261138916,65
38.6693649292,-77.2608108521,65
38.6694030762,-77.2604751587,65
38.6694488525,-77.2601470947,65
38.6694869995,-77.2598114014,65
38.6695289612,-77.2594833374,65
38.6695671082,-77.2591552734,65
38.6696090698,-77.2588348389,65
38.6696472168,-77.2585067749,65
38.6696929932,-77.2581710815,65
38.6697349548,-77.2578353882,65
38.6697731018,-77.2575073242,65
38.6698150635,-77.2571868896,65
38.6698570251,-77.2568588257,65
38.6698913574,-77.2565383911,65
38.6699371338,-77.2562255859,65
38.6699752808,-77.2559051514,65
38.6700172424,-77.2555770874,65
38.6700668335,-77.2552566528,65
38.6701164246,-77.2549285889,65
38.670173645,-77.2545928955,65
38.6702270508,-77.2542648315,65
38.6702842712,-77.2539367676,65
38.6703453064,-77.2536087036,65
38.6704063416,-77.2532730103,65
38.6704673767,-77.2529449463,65
38.6705322266,-77.2526016235,65
38.6705970764,-77.2522659302,65
38.6706619263,-77.2519226074,65
38.6707267761,-77.2515869141,65
38.6707954407,-77.2512588501,65
38.6708602905,-77.2509384155,65
38.6709289551,-77.2506103516,65
38.6710014343,-77.2502975464,65
38.6710777283,-77.2499923706,65
38.6711578369,-77.2496871948,65
38.6712341309,-77.249382019,65
38.6713180542,-77.2490768433,65
38.6714019775,-77.2487792969,65
38.6714897156,-77.2484741211,65
38.6715736389,-77.2481689453,65
38.671661377,-77.2478713989,65
38.671749115,-77.2475738525,65
38.6718330383,-77.2472305298,65
38.6719245911,-77.2469177246,65
38.6720161438,-77.2465057373,65
38.6721038818,-77.2461853027,65
38.6721992493,-77.245880127,65
38.6722946167,-77.2455749512,65
38.6723823547,-77.2452774048,65
38.6724739075,-77.244972229,65
38.6725616455,-77.2446670532,65
38.6726570129,-77.244354248,65
38.6727485657,-77.2440490723,65
38.6728363037,-77.2437438965,65
38.6729240417,-77.2434387207,65
38.6730117798,-77.2431335449,65
38.6731033325,-77.2428283691,65
38.6731910706,-77.2425231934,65
38.6732826233,-77.242225647,65
38.6733779907,-77.2419204712,65
38.6734695435,-77.2416229248,65
38.6735687256,-77.2413253784,65
38.6736755371,-77.2410202026,65
38.6737861633,-77.2407226562,65
38.6739006042,-77.2404098511,65
38.6740150452,-77.2400970459,65
38.6741294861,-77.2397842407,65
38.6742477417,-77.2394638062,65
38.6743431091,-77.2391586304,65
38.6744422913,-77.2388458252,65
38.6746368408,-77.2385787964,65
38.6747703552,-77.2382965088,65
38.6748962402,-77.2380142212,65
38.6750297546,-77.2377243042,65
38.675163269,-77.237449646,65
38.6752967834,-77.2371673584,65
38.6754417419,-77.2368621826,65
38.6756187,-77.2365556,65
38.6757881,-77.2362399,65
38.6759717,-77.2359247,65
38.6761058,-77.2356886,65
38.6762237549,-77.2355041504,65
38.6763954163,-77.2352523804,65
38.6765670776,-77.2350006104,65
38.6767234802,-77.2347335815,65
38.6768951416,-77.2344818115,65
38.6770744324,-77.2342300415,65
38.6772499084,-77.2339859009,65
38.6774368286,-77.2337417603,65
38.6776161194,-77.2334976196,65
38.6777992249,-77.2332458496,65
38.6780052185,-77.2330245972,65
38.6782150269,-77.2328109741,65
38.6784248352,-77.2325973511,65
38.6786384583,-77.2323760986,65
38.6788635254,-77.2321548462,65
38.6790771484,-77.2319641113,65
38.6792984009,-77.2317733765,65
38.6795272827,-77.2315826416,65
38.6797561646,-77.2313995361,65
38.6799926758,-77.2312316895,65
38.680229187,-77.2310638428,65
38.6804733276,-77.2309112549,65
38.6807174683,-77.230758667,65
38.6809577942,-77.2306060791,65
38.6812019348,-77.23046875,65
38.6814498901,-77.2303237915,65
38.6816902161,-77.230178833,65
38.681930542,-77.2300338745,65
38.6821708679,-77.2299041748,65
38.6824150085,-77.2297439575,65
38.6826477051,-77.2295761108,65
38.6828918457,-77.2294158936,65
38.6831385,-77.2292899,65
38.6834011,-77.2291403,65
38.6836738,-77.2289842,65
38.6839033,-77.2288675,65
38.6841316223,-77.2287750244,65
38.6843795776,-77.2286682129,65
38.6846313477,-77.2285614014,65
38.6848869324,-77.2284622192,65
38.6851348877,-77.2283325195,65
38.6853942871,-77.228225708,65
38.6856536865,-77.2281265259,65
38.68592453,-77.2280578613,65
38.6862179,-77.227958,65
38.686492,-77.2278782,65
38.6867808,-77.2278056,65
38.687157,-77.2277113,65
38.6875672,-77.2276204,65
38.6877692,-77.2275851,65
38.6878751,-77.2275592,65
38.688037,-77.2275177,65
38.6881793,-77.2274922,65
38.6883163,-77.2274711,65
38.6884333,-77.2274457,65
38.6885713,-77.227423,65
38.6887159,-77.22739,65
38.6888518,-77.22737,65
38.6890735,-77.2273208,65
38.6893375,-77.2272637,65
38.6899172,-77.2271529,65
38.6903298,-77.2270774,65
38.6907169,-77.2270094,65
38.6911315918,-77.2269287109,65
38.6913871765,-77.2268829346,65
38.6916389465,-77.2268295288,65
38.6918945312,-77.2267837524,65
38.692150116,-77.2267303467,65
38.6924057007,-77.2266769409,65
38.6926612854,-77.2266235352,65
38.6929206848,-77.2265701294,65
38.6931800842,-77.226524353,65
38.6934394836,-77.2264709473,65
38.6936988831,-77.2264251709,65
38.6939544678,-77.2263793945,65
38.6942138672,-77.2263259888,65
38.6944656372,-77.226272583,65
38.6947479248,-77.2262039185,65
38.6950454712,-77.2261428833,65
38.6953125,-77.2260894775,65
38.6955490112,-77.2260513306,65
38.6958122253,-77.2259979248,65
38.6960754395,-77.2259597778,65
38.6963348389,-77.2259063721,65
38.6966094971,-77.2258377075,65
38.69688797,-77.2257843018,65
38.69713974,-77.2257385254,65
38.6973953247,-77.225692749,65
38.6976547241,-77.2256546021,65
38.6979141235,-77.2255935669,65
38.6981887817,-77.2255172729,65
38.6984596252,-77.225479126,65
38.6987037659,-77.225440979,65
38.6989555359,-77.2253723145,65
38.69921875,-77.2253265381,65
38.6994743347,-77.2252731323,65
38.6997337341,-77.2252197266,65
38.6999969482,-77.2251739502,65
38.7002563477,-77.2251281738,65
38.7005195618,-77.2250747681,65
38.7007789612,-77.2250213623,65
38.7010383606,-77.2249679565,65
38.70129776,-77.2249145508,65
38.7015609741,-77.224861145,65
38.7018203735,-77.2248001099,65
38.7020874023,-77.2247314453,65
38.7023468018,-77.2246704102,65
38.7026138306,-77.2246017456,65
38.7028770447,-77.2245330811,65
38.7031402588,-77.2244644165,65
38.7034072876,-77.2243881226,65
38.7036705017,-77.224319458,65
38.7039337158,-77.2242431641,65
38.7041969299,-77.2241668701,65
38.704460144,-77.2240829468,65
38.7047195435,-77.2240066528,65
38.7049865723,-77.2239227295,65
38.7052497864,-77.2238388062,65
38.7055130005,-77.2237548828,65
38.7057723999,-77.2236633301,65
38.7060317993,-77.2235717773,65
38.7062911987,-77.2234802246,65
38.7065544128,-77.2233810425,65
38.7068138123,-77.2232894897,65
38.707069397,-77.2231826782,65
38.7073326111,-77.2230758667,65
38.7075881958,-77.2229766846,65
38.7078475952,-77.2228622437,65
38.7080993652,-77.2227554321,65
38.70835495,-77.2226409912,65
38.70860672,-77.2225265503,65
38.7088623047,-77.22240448,65
38.7091140747,-77.2222747803,65
38.7093658447,-77.22215271,65
38.7096176147,-77.2220230103,65
38.7098617554,-77.2218780518,65
38.7101097107,-77.2217330933,65
38.7103500366,-77.2215805054,65
38.7105941772,-77.2214279175,65
38.7108306885,-77.2212600708,65
38.7110671997,-77.2210845947,65
38.7112998962,-77.2209091187,65
38.7115287781,-77.2207260132,65
38.7117500305,-77.2205429077,65
38.7119750977,-77.2203445435,65
38.7121887207,-77.2201461792,65
38.7124061584,-77.2199401855,65
38.7126159668,-77.2197265625,65
38.7128219604,-77.2195129395,65
38.7130241394,-77.2192993164,65
38.7132225037,-77.219078064,65
38.7134208679,-77.2188568115,65
38.7136154175,-77.2186279297,65
