x,y,z,yaw,velocity,change_flag
-11.5636,7.9779,-37.6295,-0.401,2,0
-10.6099,7.5534,-37.6264,-0.4187,3,0
-9.5764,7.0955,-37.6067,-0.4297,4,0
-8.1118,6.4192,-37.5809,-0.4313,5,0
-6.5287,5.6974,-37.5652,-0.4308,6,0
-5.4309,5.1992,-37.5458,-0.4305,7,0
-4.2336,4.6354,-37.5388,-0.429,8,0
-2.9492,4.0521,-37.5254,-0.4276,9,0
-1.0992,3.2036,-37.5039,-0.4239,10,0
-0.0967,2.7533,-37.5078,-0.4218,11,0
0.9372,2.2779,-37.4998,-0.4186,12,0
2.0407,1.78,-37.4917,-0.4161,13,0
3.1095,1.3003,-37.486,-0.4127,14,0
4.2728,0.7859,-37.4793,-0.4088,15,0
5.4232,0.2822,-37.4795,-0.4056,16,0
6.5787,-0.2266,-37.4749,-0.404,17,0
7.7916,-0.742,-37.4681,-0.402,18,0
8.988,-1.2678,-37.4635,-0.4025,19,0
10.1794,-1.7842,-37.4588,-0.4035,20,0
11.4039,-2.316,-37.4636,-0.4044,21,0
12.6286,-2.8428,-37.4628,-0.4049,22,0
13.8912,-3.3887,-37.4638,-0.4061,23,0
15.1669,-3.9396,-37.4851,-0.4071,24,0
16.4316,-4.4924,-37.48,-0.4084,25.258,0
17.6988,-5.0694,-37.4744,-0.4121,25.258,0
18.9947,-5.6477,-37.4754,-0.4153,25.258,0
20.2946,-6.2287,-37.4713,-0.4178,25.258,0
21.5727,-6.8071,-37.4783,-0.4216,25.258,0
22.8799,-7.3826,-37.451,-0.4265,25.258,0
24.1867,-8,-37.4448,-0.4298,25.258,0
26.8032,-9.2018,-37.4104,-0.4351,25.258,0
28.089,-9.7944,-37.3972,-0.4331,25.258,0
29.4168,-10.4097,-37.4068,-0.4313,25.258,0
30.7723,-11.0449,-37.3743,-0.4302,25.258,0
32.0654,-11.6494,-37.359,-0.4322,25.258,0
33.3793,-12.2748,-37.3383,-0.4346,25.258,0
34.6975,-12.886,-37.3202,-0.437,25.258,0
36.03,-13.5361,-37.3104,-0.4418,25.258,0
37.3759,-14.1869,-37.2888,-0.4463,25.258,0
40.0276,-15.5157,-37.2637,-0.4611,25.258,0
42.0512,-16.549,-37.2205,-0.4746,25.258,0
43.365,-17.2627,-37.1678,-0.4854,25.258,0
48.738,-20.2067,-37.1925,-0.5189,25.258,0
50.113,-21.0072,-37.1918,-0.5244,25.258,0
51.4462,-21.7861,-37.1587,-0.5297,25.258,0
52.7991,-22.5905,-37.1362,-0.5339,25.258,0
54.1352,-23.3978,-37.1228,-0.5359,25.258,0
55.4966,-24.2211,-37.1004,-0.5357,25.258,0
56.9069,-25.0524,-37.0645,-0.5327,25.258,0
58.969,-26.2798,-37.0271,-0.527,25.258,0
60.3965,-27.1144,-36.9914,-0.5233,25.258,0
61.7986,-27.9444,-36.9548,-0.5191,25.258,0
63.2216,-28.7501,-36.9076,-0.5131,25.258,0
64.683,-29.5824,-36.8673,-0.506,25.258,0
66.1324,-30.358,-36.8458,-0.4982,25.258,0
68.3451,-31.5898,-36.7707,-0.4861,25.258,0
71.367,-33.1834,-36.7424,-0.4683,25.258,0
74.4701,-34.7332,-36.7232,-0.4486,25.258,0
76.0297,-35.5098,-36.7076,-0.4398,25.258,0
77.5919,-36.2544,-36.703,-0.432,25.258,0
80.737,-37.6999,-36.6506,-0.4217,25.258,0
83.9355,-39.1258,-36.6532,-0.4156,25.258,0
85.5273,-39.8518,-36.6222,-0.4136,25.258,0
87.9282,-40.9127,-36.5614,-0.4078,25.258,0
89.5277,-41.5936,-36.5909,-0.4048,25.258,0
91.1199,-42.31,-36.5832,-0.4047,25.258,0
92.7048,-42.9837,-36.5091,-0.4013,25.258,0
95.0864,-44.0068,-36.4554,-0.4019,25.258,0
97.4102,-45.0116,-36.4742,-0.4039,25.258,0
99.7241,-46.0195,-36.4096,-0.4048,25.258,0
101.9873,-47.0146,-36.4147,-0.4043,25.258,0
107.1985,-49.2978,-36.3542,-0.4038,25.258,0
108.6539,-49.9153,-36.347,-0.4044,25.258,0
111.5555,-51.1814,-36.3335,-0.4083,25.258,0
115.9123,-53.1224,-36.2365,-0.4132,25.258,0
123.4147,-56.4534,-36.3706,-0.4194,25.258,0
125.4331,-57.3543,-36.3941,-0.4221,25.258,0
126.7403,-57.9393,-36.3538,-0.4242,25.258,0
130.0266,-59.4478,-36.3675,-0.4319,25.1807,0
131.8603,-60.3053,-36.4514,-0.4412,24.3243,0
133.0688,-60.8633,-36.3959,-0.4493,23.7557,0
135.425,-62.0056,-36.4223,-0.4734,23.6293,0
138.2543,-63.4779,-36.445,-0.5255,22.8501,0
140.8635,-65.0835,-36.4545,-0.5936,22.113,0
142.8561,-66.512,-36.5085,-0.657,21.4882,0
143.7927,-67.2393,-36.5116,-0.6901,21.2495,0
145.1062,-68.3387,-36.5231,-0.7437,20.7441,0
146.3324,-69.5483,-36.5375,-0.8027,20.2106,0
147.4692,-70.7591,-36.5519,-0.8662,19.5718,0
148.1617,-71.6216,-36.5648,-0.9093,18.9751,0
149.0779,-72.9035,-36.5933,-0.9744,18.1607,0
149.8689,-74.2185,-36.6307,-1.0381,17.3113,0
